audit_id,table_name,row_pk,column_name,issue_type,old_value,new_value,action,reason,created_at
40,clean.app_snapshot_clean,651,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
41,clean.app_snapshot_clean,652,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
42,clean.app_snapshot_clean,653,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
43,clean.app_snapshot_clean,654,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
44,clean.app_snapshot_clean,655,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
45,clean.app_snapshot_clean,656,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
46,clean.app_snapshot_clean,661,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
47,clean.app_snapshot_clean,662,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
48,clean.app_snapshot_clean,663,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
49,clean.app_snapshot_clean,669,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
50,clean.app_snapshot_clean,672,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
51,clean.app_snapshot_clean,686,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
52,clean.app_snapshot_clean,701,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
53,clean.app_snapshot_clean,707,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
54,clean.app_snapshot_clean,708,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
55,clean.app_snapshot_clean,1019,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
56,clean.app_snapshot_clean,1030,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
57,clean.app_snapshot_clean,1037,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
58,clean.app_snapshot_clean,1038,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
59,clean.app_snapshot_clean,1039,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
60,clean.app_snapshot_clean,1044,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
61,clean.app_snapshot_clean,1046,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
62,clean.app_snapshot_clean,1048,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
63,clean.app_snapshot_clean,1050,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
64,clean.app_snapshot_clean,1051,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
65,clean.app_snapshot_clean,1182,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
66,clean.app_snapshot_clean,1185,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
67,clean.app_snapshot_clean,1462,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
68,clean.app_snapshot_clean,1476,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
69,clean.app_snapshot_clean,1485,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
70,clean.app_snapshot_clean,1491,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
71,clean.app_snapshot_clean,1496,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
72,clean.app_snapshot_clean,1525,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
73,clean.app_snapshot_clean,1527,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
74,clean.app_snapshot_clean,1528,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
75,clean.app_snapshot_clean,1538,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
76,clean.app_snapshot_clean,1542,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
77,clean.app_snapshot_clean,1544,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
78,clean.app_snapshot_clean,1545,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
79,clean.app_snapshot_clean,1547,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
80,clean.app_snapshot_clean,1548,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
81,clean.app_snapshot_clean,1560,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
82,clean.app_snapshot_clean,1565,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
83,clean.app_snapshot_clean,1567,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
84,clean.app_snapshot_clean,2118,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
85,clean.app_snapshot_clean,2273,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
86,clean.app_snapshot_clean,2288,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
87,clean.app_snapshot_clean,2302,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
88,clean.app_snapshot_clean,2364,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
89,clean.app_snapshot_clean,2398,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
90,clean.app_snapshot_clean,2427,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
91,clean.app_snapshot_clean,2430,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
92,clean.app_snapshot_clean,2431,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
93,clean.app_snapshot_clean,2432,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
94,clean.app_snapshot_clean,2433,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
95,clean.app_snapshot_clean,2438,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
96,clean.app_snapshot_clean,2439,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
97,clean.app_snapshot_clean,2440,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
98,clean.app_snapshot_clean,2441,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
99,clean.app_snapshot_clean,2442,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
100,clean.app_snapshot_clean,2443,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
101,clean.app_snapshot_clean,2444,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
102,clean.app_snapshot_clean,2445,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
103,clean.app_snapshot_clean,2446,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
104,clean.app_snapshot_clean,2447,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
105,clean.app_snapshot_clean,2448,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
106,clean.app_snapshot_clean,2449,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
107,clean.app_snapshot_clean,2450,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
108,clean.app_snapshot_clean,2451,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
109,clean.app_snapshot_clean,2454,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
110,clean.app_snapshot_clean,2455,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
111,clean.app_snapshot_clean,2457,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
112,clean.app_snapshot_clean,2459,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
113,clean.app_snapshot_clean,2461,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
114,clean.app_snapshot_clean,2464,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
115,clean.app_snapshot_clean,2468,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
116,clean.app_snapshot_clean,2469,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
117,clean.app_snapshot_clean,2470,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
118,clean.app_snapshot_clean,2473,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
119,clean.app_snapshot_clean,2474,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
120,clean.app_snapshot_clean,2475,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
121,clean.app_snapshot_clean,2476,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
122,clean.app_snapshot_clean,2477,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
123,clean.app_snapshot_clean,2478,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
